_id	Repository	Word Count Range	Name	Description	Model	Predictions	# correct
Dataverse_10.7910_DVN_Q7MM1G	Harvard Dataverse	31-40 words	Replication Data for: Effect of oil spills on infant mortality in Nigeria	This repository provides replication data for "Effect of oil spills on infant mortality in Nigeria". The article is published in the Proceedings of the National Academy of Sciences.	gpt-3.5-turbo	['Data replication', 'Statistical analysis']	0
Dataverse_10.7910_DVN_8ZFKW1	Harvard Dataverse	31-40 words	Supplementary Figures for Bridging Sightlines	This set of figures contains the cornerplots of the model parameters and the line-of-sight extinction profiles for all the ``tenuous connection" sightlines found in this table	gpt-3.5-turbo	['Model parameter analysis', 'Cornerplot visualization', 'Line-of-sight extinction profile analysis']	1
Dataverse_10.7910_DVN_GHOIM4	Harvard Dataverse	31-40 words	Dataset of physico-chemical water parameters, phytoplankton, flora and fauna in mangrove ecosystem at Sungai Kertih, Terengganu, Malaysia	This dataset presents the composition of selected physico-chemical water parameters, phytoplankton, flora and fauna in mangrove ecosystem of Sungai Kertih, Terengganu, Malaysia.	gpt-3.5-turbo	['Water sampling', 'Physico-chemical analysis', 'Phytoplankton sampling', 'Flora sampling', 'Fauna sampling']	5
Dataverse_10.7910_DVN_PCM2O2	Harvard Dataverse	31-40 words	Replication Data for: Endogenous taxation in ongoing internal conflict: The case of Colombia	Replication Material for "Endogenous taxation in ongoing internal conflict: The case of Colombia." Forthcoming in the American Political Science Review.	gpt-3.5-turbo	['Replication study', 'Data collection', 'Statistical analysis', 'Taxation analysis']	1
Dataverse_10.34894_AFYDEK	Harvard Dataverse	31-40 words	Le Dictionnaire topographique. Une API pour les toponymes anciens français	Abstract and poster of paper 0681 presented at the Digital Humanities Conference 2019 (DH2019), Utrecht , the Netherlands 9-12 July, 2019.	gpt-3.5-turbo	['API development', 'Toponymy research', 'Poster presentation', 'Digital Humanities research']	0
Mendeley_7gm4rgfkyk	Mendeley	0-10 words	Shear test data.	Shear test data	gpt-3.5-turbo	['Shear testing']	1
Mendeley_5zwc6n6pjg	Mendeley	0-10 words	Dermal Images	Original Images used for dermal image enhancements	gpt-3.5-turbo	['Image acquisition', 'Dermal image enhancement techniques']	0
Mendeley_nj8pcc8psh	Mendeley	0-10 words	LINF_260014700	protein kinase Leishmania infantum (strain JPCM5)	gpt-3.5-turbo	['Protein kinase analysis', 'Genome sequencing']	0
Mendeley_8h8zggfnrh	Mendeley	0-10 words	Towards High Performance Flexible Planar Supercapacitors	data manuscript	gpt-3.5-turbo	['Chemical vapor deposition (CVD)', 'Atomic layer deposition (ALD)', 'Electrochemical impedance spectroscopy (EIS)', 'Scanning electron microscopy (SEM)', 'X-ray diffraction (XRD)', 'Fourier-transform infrared spectroscopy (FTIR)', 'Energy dispersive X-ray spectroscopy (EDX)', 'Cyclic voltammetry (CV)', 'Galvanostatic charge-discharge (GCD) measurements']	0
Mendeley_s7s4c9nyn5	Mendeley	0-10 words	LINF_230008300	tryptophanyl-tRNA synthetase | mt-TrpRS Leishmania infantum (strain JPCM5)	gpt-3.5-turbo	['Tandem mass spectrometry', 'Protein purification', 'Protein identification', 'Proteomics analysis']	0
Mendeley_yvjbpp89xp	Mendeley	11-20 words	LINF_360025400	kinetoplastid kinetochore protein 1 | KKT1 Leishmania infantum (strain JPCM5)	gpt-3.5-turbo	['Immunofluorescence', 'Fluorescence microscopy', 'Western blot']	0
Mendeley_t5dyns635c	Mendeley	11-20 words	Moh Adib Jauhar PTIK UAS	Mencari jurnal penelitian sesuai intruksi Dari bapak bosen	gpt-3.5-turbo	['Searching for research journals', 'Following instructions', 'Avoiding boredom']	0
Mendeley_n2mb4mf59x	Mendeley	11-20 words	Data for: Controlling Interfacial Reactions of Ti3SiC2/Ti2AlNb Brazed Joints by Transferring Graphene Layers	data supplement	gpt-3.5-turbo	['Brazing', 'Transferring graphene layers']	0
Mendeley_8m68g4wbwd	Mendeley	11-20 words	Data for: Integrated chemostratigraphy (δ13C-δ34S-δ15N) constrains Cretaceous lacustrine anoxic events triggered by marine sulfate input	Trace elements data	gpt-3.5-turbo	['Chemostratigraphy', 'Isotope analysis', 'Trace element analysis']	1
Mendeley_2nmgm9s9bc	Mendeley	11-20 words	 JDCR-D-21-00326R3, Pyoderma gangrenosum in a patient on ixekizumab	Supplemental data for case report	gpt-3.5-turbo	['Case report analysis', 'Supplemental data collection']	0
Mendeley_6zdh4tzs4v	Mendeley	21-30 words	Data for: Global and local sensitivity analysis of urban background ozone modelled with a simplified photochemical scheme	Results obtained with the box-GRS model	gpt-3.5-turbo	['Global sensitivity analysis', 'Local sensitivity analysis', 'Urban background ozone modeling', 'Simplified photochemical scheme', 'Box-GRS model']	1
Mendeley_8hwzr7jjmc	Mendeley	21-30 words	Echolocating bats rapidly adjust their mouth gape to control spatial acquisition when scanning a target	3D Tracking, acoustic, and simulation were generated for analysis. 	gpt-3.5-turbo	['3D Tracking', 'Acoustic analysis', 'Simulation']	1
Mendeley_gh9473zddg	Mendeley	21-30 words	Data for: Up-regulation of TNF Receptor-associated Factor 7 after spinal cord injury in rats may have implication for neuronal apoptosis	Validation of antibodies used in this study	gpt-3.5-turbo	['Immunohistochemistry', 'Western blotting', 'Enzyme-linked immunosorbent assay (ELISA)', 'Immunofluorescence', 'Flow cytometry']	0
Mendeley_hntgbjm7b8	Mendeley	21-30 words	Data for: A method of estimating the future meteorological data.	the data used is on world meteorological organization site  and could be accessed by everyone.	gpt-3.5-turbo	['Estimation method']	0
Mendeley_zwrcvtjn6n	Mendeley	21-30 words	A missing link in the evolution of dasytine soft-winged flower beetles from Cretaceous Charentese amber (Coleoptera: Melyridae)	Full-resolution image stack (TIFF) and model in STL format.	gpt-3.5-turbo	['Imaging analysis', 'Digital modeling', 'Stack imaging']	2
Mendeley_pg9pp8srjz	Mendeley	31-40 words	Data for: Why should I pay more?  Testing the impact of contextual cues on perception of price unfairness for the price-disadvantaged segment in dual pricing	Perception of price unfairness and the demographics of the participants	gpt-3.5-turbo	['Experimental research design', 'Survey methodology', 'Statistical analysis']	1
Mendeley_yv9z2ht3pm	Mendeley	31-40 words	Two spearheads in Late Bronze Age hoards	This is supplementary data for the publication titled "Late Bronze Age Spears in the Floor from Velem-Szent Vid, Hungary," submitted to the Archeologické rozhledy journal.	gpt-3.5-turbo	['Field survey', 'Excavation', 'Artifact analysis']	0
Mendeley_k9rr66tr9n	Mendeley	31-40 words	Data for: A Late Maeotian age for the enigmatic “Pebbly Breccia” unit in DSDP Hole 380A of the Black Sea	Table.1 Calcareous nannofossils and diatoms from DSDP Hole 380A - Data File	gpt-3.5-turbo	['Calcareous nannofossil analysis', 'Diatom analysis']	0
Mendeley_hpt29c4hjj	Mendeley	31-40 words	Dataset	This file contains the daily spot prices, futures prices and the corresponding trading volume for  Chinese agricultural commodities, which are used in the paper—Dynamic Price Discovery in Chinese Agricultural Futures Markets.	gpt-3.5-turbo	['Data collection', 'Data preprocessing', 'Time series analysis']	0
Mendeley_h55cyhs82c	Mendeley	31-40 words	Clinical, laboratory, and radiologic findings associated with mortality in COVID-19: a systematic review and meta-analysis	A companion code and data repository for the submission, "Clinical, laboratory, and radiologic findings associated with mortality in COVID-19: a systematic review and meta-analysis".	gpt-3.5-turbo	['Systematic review', 'Meta-analysis']	2
ZENODO_3339851	Zenodo	0-10 words	finals_2019_07_158	Log and boot files of game 158	gpt-3.5-turbo	['Logging', 'Bootstrapping']	0
ZENODO_8168159	Zenodo	0-10 words	urticina_crassicornis_zanfona_1.fasta.gz	.	gpt-3.5-turbo	['DNA sequencing', 'Data compression']	0
ZENODO_7931267	Zenodo	0-10 words	paeonia_lactiflora_spades_01.fasta.gz	.	gpt-3.5-turbo	['SPADES', 'Sequencing', 'Compression']	0
ZENODO_3341136	Zenodo	0-10 words	finals_2019_07_379	Log and boot files of game 379	gpt-3.5-turbo	['Logging', 'Bootstrapping']	0
ZENODO_6676242	Zenodo	0-10 words	Chitala chitala decontaminated gx	.	gpt-3.5-turbo	['Decontamination techniques']	0
ZENODO_1476814	Zenodo	11-20 words	QoS values and QoS functions	Experiment results of QoS values and QoS functions.	gpt-3.5-turbo	['Experimentation', 'Data collection', 'Data analysis', 'QoS measurement', 'QoS function evaluation']	0
ZENODO_2541865	Zenodo	11-20 words	Polinomio cuadrático	Representación gráfica de un polinomio cuadrático generado con una muestra aleatoria y con ruido.	gpt-3.5-turbo	['Polynomial regression', 'Random sampling', 'Adding noise']	2
ZENODO_1091359	Zenodo	11-20 words	PowerTAC 2015-04 Finals Game 170	Log and boot files of game 170	gpt-3.5-turbo	['Logging', 'Bootstrapping']	0
ZENODO_7459761	Zenodo	11-20 words	Anisotropic Superconductivity at KTaO3(111) interfaces	Raw transport data for Anisotropic Superconductivity at KTaO3(111) interfaces	gpt-3.5-turbo	['Transport measurements', 'Anisotropic superconductivity analysis']	1
ZENODO_4674342	Zenodo	11-20 words	20191212_rr07_sp56_ds11	Dataset supporting the article Behavioral fingerprints predict insecticide and anthelmintic mode of action	gpt-3.5-turbo	['Behavioral assays', 'Insecticide exposure assays', 'Anthelmintic exposure assays', 'Data analysis techniques']	1
ZENODO_7495558	Zenodo	21-30 words	Acetaldehyde binding energies: a coupled experimental and theoretical study	CRYSTAL17  output files of the atomic structures used in the related publication	gpt-3.5-turbo	['Experimental measurements', 'Theoretical calculations']	0
ZENODO_5500722	Zenodo	21-30 words	Multiplexed imaging reveals an IFN-γ-driven inflammatory state in Nivolumab-associated gastritis (data)	MIBI-TOF images, segmentation output, cell phenotype maps, and extracted cell tables for Ferrian et al.	gpt-3.5-turbo	['Multiplexed Imaging', 'MIBI-TOF imaging', 'Segmentation analysis', 'Cell phenotype mapping', 'Cell table extraction']	4
ZENODO_7255105	Zenodo	21-30 words	Thromboprophylaxis in patients admitted to surgical ward: clinical audit	This is a dataset for a clinical audit done in Alshuhada teaching hospital	gpt-3.5-turbo	['Clinical audit']	1
ZENODO_4629990	Zenodo	21-30 words	The future of coal investment, trade and stranded assets	Dataset to support the publication "The future of coal investment, trade and stranded assets"	gpt-3.5-turbo	['Data collection', 'Data analysis', 'Statistical modeling', 'Econometric modeling']	0
ZENODO_6334170	Zenodo	21-30 words	AirGAM 2022r1 input data for all stations 2005-2019	Contains EEA Airbase/AQ e-Reporting data and ECMWF ERA 5 met data for all stations.	gpt-3.5-turbo	['EEA Airbase/AQ e-Reporting data collection', 'ECMWF ERA 5 met data collection', 'Integration of collected data from all stations in the specified time period (2005-2019)']	2
ZENODO_6826897	Zenodo	31-40 words	Raw data - Macronutrient balance has opposing effects on cognition and survival in honey bees	This file contains the dataset used in the paper "Macronutrient balance has opposing effects on cognition and survival in honey bees"	gpt-3.5-turbo	['Data collection', 'Experimentation', 'Observation', 'Statistical analysis']	0
ZENODO_7415422	Zenodo	31-40 words	Temporal emotional valence asymmetry influences the spatial grounding of TIME and VALENCE concepts	This repository contains the data used for the statistical analyses in the "Temporal emotional valence asymmetry influences the spatial grounding of TIME and VALENCE concepts" manuscript	gpt-3.5-turbo	['statistical analyses']	0
ZENODO_8312447	Zenodo	31-40 words	Natural history specimens collected and/or identified and deposited.	Natural history specimen data collected and/or identified by Otto Herman Swezey, http://www.wikidata.org/entity/Q2039146. Claims or attributions were made on Bionomia, https://bionomia.net using specimen data from the Global Biodiversity Information Facility, https://gbif.org.	gpt-3.5-turbo	['Collection', 'Identification', 'Depositing']	2
ZENODO_8151323	Zenodo	31-40 words	Natural history specimens collected and/or identified and deposited.	Natural history specimen data collected and/or identified by Sidney Adolphus Hessel, http://www.wikidata.org/entity/Q106484975. Claims or attributions were made on Bionomia, https://bionomia.net using specimen data from the Global Biodiversity Information Facility, https://gbif.org.	gpt-3.5-turbo	['Specimen collection', 'Specimen identification', 'Data deposition']	2
ZENODO_8031009	Zenodo	31-40 words	Natural history specimens collected and/or identified and deposited.	Natural history specimen data collected and/or identified by Jean De Marbaix, http://www.wikidata.org/entity/Q21510032. Claims or attributions were made on Bionomia, https://bionomia.net using specimen data from the Global Biodiversity Information Facility, https://gbif.org.	gpt-3.5-turbo	['Data collection', 'Data identification', 'Data deposition']	2
